Design_id|Locarno_class
621628|23-03
621713|07-02
621714|06-04
621714|06-06
621715|06-04
621715|06-06
621716|06-04
621716|06-06
621735|04-02
621736|16-01
621737|16-01
621738|16-01
621739|16-01
621740|16-01
621752|15-99
621752|23-01
621806|08-03
621807|08-03
621813|08-03
621814|08-03
621822|14-02
621823|14-02
621824|14-02
621825|14-02
621826|14-02
621827|14-02
621828|10-05
621830|23-04
621834|14-03
621836|03-01
621837|15-05
621838|15-05
621839|15-05
621840|12-08
621841|12-16
621842|15-05
621843|15-05
621844|15-05
621845|15-05
621846|15-05
621849|08-08
621850|15-05
621851|15-05
621862|09-08
621876|15-05
621877|15-05
621880|14-03
621881|14-03
621882|14-03
621910|14-02
621911|14-02
621912|18-01
621913|18-01
621914|16-01
621917|23-01
621917|23-02
621918|23-01
621918|23-02
621934|07-02
621935|07-01
622010|07-02
622011|07-02
622012|07-02
622013|07-02
622014|07-02
622015|07-02
622016|07-02
622017|07-02
622018|07-02
622019|07-02
622020|07-02
622021|07-02
622022|07-02
622023|07-02
622024|07-02
622025|07-02
622026|07-02
622027|07-02
622028|07-02
622029|07-02
622030|07-02
622031|07-02
622032|07-02
622033|07-02
622034|07-02
622035|07-02
622036|07-02
622037|07-02
622038|07-02
622039|07-02
622040|07-02
622041|07-02
622042|14-02
622043|14-02
622044|14-02
622058|14-02
622059|14-02
622060|15-06
622061|15-06
622062|18-02
622063|18-02
622064|31-00
622065|31-00
622066|31-00
622067|31-00
622068|31-00
622069|31-00
622070|31-00
622071|31-00
622072|31-00
622073|31-00
622074|31-00
622075|31-00
622076|31-00
622077|31-00
622113|07-02
622114|07-02
622115|07-02
622116|07-02
622117|07-02
622118|07-02
622119|07-02
622120|07-02
622121|07-02
622122|07-02
622123|07-02
622124|07-02
622125|07-02
622126|07-02
622127|07-02
622128|07-02
622129|07-02
622130|07-02
622131|07-02
622132|07-02
622133|07-02
622134|07-02
622135|07-02
622136|07-02
622137|07-02
622138|07-02
622139|07-02
622140|07-02
622141|07-02
622142|07-02
622143|07-02
622144|07-02
622145|07-02
622146|07-02
622147|07-02
622148|07-02
622149|07-02
622150|07-02
622151|07-02
622152|07-02
622153|07-02
622154|07-02
622155|07-02
622156|07-02
622157|07-02
622158|07-02
622159|07-02
622160|07-02
622161|07-02
622162|07-02
622163|07-02
622164|07-02
622165|07-02
622166|07-02
622167|07-02
622168|07-02
622169|07-02
622170|07-02
622176|15-05
622177|10-04
622178|10-04
622179|10-04
622190|14-04
622191|14-04
622192|14-04
622193|14-04
622194|14-04
622195|14-04
622196|14-04
622197|14-04
622198|14-04
622199|14-04
622200|14-04
622201|13-03
622202|13-03
622203|13-03
622204|13-03
622205|13-02
622206|03-01
622207|13-03
622208|15-99
622221|15-09
622225|03-01
622226|03-01
622227|14-04
622228|14-04
622229|14-04
622230|14-04
622231|14-04
622232|14-04
622233|14-04
622234|03-01
622235|14-04
622236|14-04
622237|14-04
622238|14-04
622239|14-02
622240|14-04
622241|14-04
622242|14-04
622243|14-04
622244|14-04
622304|09-05
622422|07-02
622423|07-02
622457|14-02
622458|14-02
622459|14-02
622475|23-04
622476|23-04
622478|26-05
622479|26-05
622480|26-05
622481|26-05
622482|26-05
622483|26-05
622492|13-03
622493|13-03
622494|13-03
622495|13-03
622496|20-03
622497|20-03
622504|14-03
622509|28-03
622515|24-02
622516|24-02
622517|24-02
622518|24-02
622519|24-02
622520|24-02
622521|24-02
622522|24-02
622523|24-02
622524|24-02
622525|04-02
622537|23-04
622541|19-02
622543|02-04
622595|09-05
622596|09-05
622597|09-05
622598|09-05
622599|09-05
622600|09-05
622601|09-05
622602|09-05
622603|09-05
622604|09-05
622605|09-05
622606|09-05
622607|09-05
622608|09-05
622609|09-05
622610|09-05
622611|09-05
622612|09-05
622613|09-05
622614|09-05
622615|09-05
622616|09-05
622617|09-05
622618|09-05
622619|09-05
622620|09-05
622621|09-05
622622|09-05
622623|09-05
622624|09-05
622625|09-05
622626|09-05
622627|09-05
622628|09-05
622629|09-05
622630|09-05
622646|24-01
622647|24-01
622648|24-01
622652|23-02
622679|15-05
622687|14-03
622688|14-03
622689|14-03
622690|14-03
622691|14-03
622692|14-03
622693|14-03
622694|14-03
622695|14-02
622696|14-02
622697|16-04
622698|14-03
622699|14-03
622700|14-03
622701|14-04
622702|14-04
622703|14-04
622704|14-04
622705|14-04
622706|14-04
622707|14-04
622708|14-04
622709|14-04
622710|14-04
622711|14-04
622712|14-04
622713|14-04
622714|14-04
622715|14-04
622716|14-04
622717|14-04
622718|14-04
622719|14-04
622720|14-04
622721|14-04
622722|14-04
622723|14-04
622724|14-04
622725|14-04
622726|14-04
622727|14-04
622728|14-04
622729|14-04
622730|07-02
622731|07-02
622732|32-00
622810|12-16
622811|12-16
622812|21-01
622813|12-08
622813|21-01
622814|28-03
622815|28-03
622816|28-03
622817|14-03
622818|15-04
622819|15-04
622820|15-04
622821|15-04
622822|15-04
622823|15-04
622824|15-04
622825|15-04
622826|15-04
622827|15-04
622828|15-04
622829|15-04
622830|15-04
622831|15-04
622832|15-04
622833|15-04
622834|15-04
622835|15-04
622836|15-04
622837|15-04
622838|15-04
622839|15-04
622874|28-03
622875|28-03
622876|28-03
622877|21-02
622878|21-02
622879|21-02
622880|21-02
622884|16-01
622885|16-05
622895|08-99
622901|12-08
622902|12-08
622939|14-04
622940|14-04
622943|10-04
622944|10-04
622948|14-03
622949|14-02
622950|14-03
622951|14-03
622952|14-03
622953|13-03
622954|13-03
622955|13-03
622956|13-03
622957|13-03
622958|13-03
622959|13-03
622960|13-03
622961|13-03
622962|13-03
622963|13-03
622964|13-03
623011|26-03
623041|13-02
623042|13-02
623043|13-02
623044|13-03
623064|14-02
623065|14-02
623066|14-02
623067|14-02
623068|14-02
623069|14-02
623070|14-02
623071|14-03
623072|14-03
623074|14-03
623075|14-03
623076|14-01
623077|14-01
623078|14-02
623079|14-02
623080|14-02
623081|14-02
623082|14-02
623091|24-02
623092|31-00
623099|07-02
623125|08-08
623126|08-08
623132|07-05
623135|23-01
623135|23-02
623136|23-01
623136|23-02
623137|23-01
623137|23-02
623138|23-01
623138|23-02
623139|14-03
623140|14-03
623146|09-03
623148|03-01
623162|13-99
623163|26-04
623187|14-02
623188|14-02
623312|13-03
623313|13-03
623316|08-07
623317|08-07
623318|08-07
623319|08-07
623320|08-07
623321|08-07
623322|08-07
623326|12-11
623329|31-00
623335|10-02
623338|06-13
623341|14-01
623342|14-02
623343|14-02
623344|04-02
623345|04-02
623355|06-01
623356|06-01
623357|03-01
623358|07-04
623359|07-04
623360|07-04
623361|07-04
623362|23-04
623364|23-04
623366|32-00
623367|32-00
623368|32-00
623369|32-00
623370|32-00
623371|32-00
623372|32-00
623373|32-00
623374|32-00
623375|32-00
623376|32-00
623377|32-00
623378|32-00
623379|32-00
623380|32-00
623381|32-00
623382|32-00
623383|32-00
623384|32-00
623404|14-99
623425|10-05
623426|15-05
623427|14-03
623428|14-03
623429|14-03
623437|05-05
623438|05-05
623439|05-05
623440|05-05
623441|05-05
623442|05-05
623443|05-05
623444|05-05
623445|05-05
623446|05-05
623447|05-05
623448|05-05
623449|05-05
623450|05-05
623451|05-05
623452|05-05
623453|05-05
623454|05-05
623483|06-01
623483|06-05
623484|06-01
623484|06-05
623485|06-01
623485|06-05
623486|06-01
623486|06-05
623487|06-01
623487|06-05
623488|06-01
623488|06-05
623489|06-01
623489|06-05
623490|06-01
623490|06-05
623491|06-01
623491|06-05
623492|06-01
623492|06-05
623493|06-01
623493|06-05
623494|06-01
623494|06-05
623495|06-01
623495|06-05
623496|06-01
623496|06-05
623497|06-01
623497|06-05
623498|06-01
623498|06-05
623499|06-01
623499|06-05
623500|06-01
623500|06-05
623501|06-01
623501|06-05
623502|06-01
623502|06-05
623505|19-02
623507|24-04
623514|07-02
623515|16-01
623516|16-01
623517|16-01
623518|16-01
623519|10-05
623520|10-05
623521|08-06
623522|08-06
623546|09-03
623547|14-02
623548|14-02
623549|14-02
623550|14-02
623551|14-02
623552|14-02
623553|14-02
623554|14-02
623555|14-02
623556|14-03
623557|14-02
623558|14-03
623559|14-02
623561|16-06
623562|16-06
623563|16-06
623564|16-06
623565|16-06
623566|16-06
623567|18-02
623568|18-02
623569|14-04
623570|14-04
623571|14-04
623572|14-04
623573|14-04
623574|14-04
623575|14-04
623576|14-04
623577|14-04
623578|14-04
623579|14-04
623580|14-04
623581|14-04
623582|14-04
623583|14-04
623586|23-01
623587|23-01
623588|23-01
623589|23-01
623594|14-02
623595|14-02
623596|14-02
623597|16-04
623598|14-02
623600|24-02
623601|24-02
623605|14-03
623606|14-03
623607|14-03
623608|14-03
623609|14-03
623610|14-03
623620|07-02
623621|07-02
623622|07-02
623623|14-04
623624|14-04
623625|14-04
623626|14-04
623627|14-04
623628|14-04
623629|14-04
623630|14-04
623631|14-04
623632|14-04
623633|14-04
623634|14-04
623635|14-04
623636|14-04
623637|14-04
623638|14-04
623639|14-04
623640|14-04
623641|14-04
623642|14-04
623643|14-04
623644|14-04
623645|14-04
623646|14-04
623647|14-04
623648|14-04
